,Destination,Lat_Destination,Lon_Destination,AverageFeltTemperature,HoursOfSun,Percentageofchanceofrain,WeatherTypeScore,WeatherScore,DestinationID,name,url,Rating,description,Lat_Hotels,Lon_Hotels
0,Mont Saint Michel,48.6359541,-1.511459954959514,12.46,14.61,0.1,6.14,38.43,0,Le Relais Saint Michel,https://www.booking.com/hotel/fr/le-relais-saint-michel.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AteltJMGwAIB0gIkNWRiMWNlNDItZTlkNy00NTM2LThiYmMtMWNhMjY2NGE2YzVm2AIF4AIB&sid=767084ed46f2a243209f01c41c11b1e6&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-02&checkout=2022-05-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=1eda642b36530173&srepoch=1651500889&all_sr_blocks=102167_347524637_0_1_0&highlighted_blocks=102167_347524637_0_1_0&matching_block_id=102167_347524637_0_1_0&sr_pri_blocks=102167_347524637_0_1_0__27464&from=searchresults#hotelTmpl,"7,8","[""Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Relais Saint Michel\xa0! "", ""Le Relais Saint Michel vous accueille face à la baie du Mont-Saint-Michel. Les chambres de cet hôtel (à l'exception de la chambre lits jumeaux Saint-Michel avec vue intérieure) possèdent toutes une terrasse privée et certaines vous offrent une vue panoramique sur le Mont-Saint-Michel."", ""Insonorisées, confortables et spacieuses, les chambres sont dotées d'équipements modernes, dont un minibar et une connexion Wi-Fi gratuite. Leurs salles de bains sont privatives."", ""Le restaurant de l'hôtel vous servira une cuisine traditionnelle. Lors de votre séjour, vous pourrez prendre un verre ou un repas sur la terrasse qui offre une vue sur le Mont-Saint-Michel."", ""Un service de navette gratuit s'arrête en face de l'établissement et relie le célèbre Mont-Saint-Michel en seulement 10 minutes. Des gilets de sécurité vous seront proposés si vous souhaitez faire une promenade la nuit. Par ailleurs, si vous arrivez en voiture, vous pourrez profiter d'un espace de stationnement surveillé moyennant des frais supplémentaires. ""]",48.6175872716489,-1.51039615273476
1,Mont Saint Michel,48.6359541,-1.511459954959514,12.46,14.61,0.1,6.14,38.43,0,Mercure Mont Saint Michel,https://www.booking.com/hotel/fr/mont-saint-michel.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AteltJMGwAIB0gIkNWRiMWNlNDItZTlkNy00NTM2LThiYmMtMWNhMjY2NGE2YzVm2AIF4AIB&sid=767084ed46f2a243209f01c41c11b1e6&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-02&checkout=2022-05-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=1eda642b36530173&srepoch=1651500889&all_sr_blocks=5717604_309327809_2_2_0&highlighted_blocks=5717604_309327809_2_2_0&matching_block_id=5717604_309327809_2_2_0&sr_pri_blocks=5717604_309327809_2_2_0__33064&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"8,2","[""Installé dans des espaces verts à seulement 2 km de l'abbaye du Mont-Saint-Michel, le Mercure Mont Saint Michel propose des chambres spacieuses avec salle de bains privative, un bar-restaurant et de nombreuses places de parking gratuites."", ""Les chambres du Mercure Mont Saint Michel sont dotées de la climatisation, d'un plateau/bouilloire et d'une télévision par satellite/câble à écran plat."", 'Le restaurant Le Pré Salé, célèbre dans la région, prépare de délicieux fruits de mer ainsi que des spécialités régionales. Le bar Le Normandy sert des boissons dans un cadre convivial et décontracté.', 'Le Mercure Mont Saint Michel vous accueille à 6,5 km de Pontorson et à 52 km de Saint-Malo. ']",48.6142465295929,-1.510545015335085
2,Mont Saint Michel,48.6359541,-1.511459954959514,12.46,14.61,0.1,6.14,38.43,0,Le Saint Aubert,https://www.booking.com/hotel/fr/hotel-saint-aubert.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AteltJMGwAIB0gIkNWRiMWNlNDItZTlkNy00NTM2LThiYmMtMWNhMjY2NGE2YzVm2AIF4AIB&sid=767084ed46f2a243209f01c41c11b1e6&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-02&checkout=2022-05-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=1eda642b36530173&srepoch=1651500889&all_sr_blocks=23081106_347524575_0_0_0&highlighted_blocks=23081106_347524575_0_0_0&matching_block_id=23081106_347524575_0_0_0&sr_pri_blocks=23081106_347524575_0_0_0__22868&from=searchresults#hotelTmpl,"7,2","['Niché dans un écrin de verdure, à seulement 2 km du Mont-Saint-Michel, Le Saint Aubert vous accueille dans un cadre chaleureux et convivial.', 'Cet établissement vous propose des chambres paisibles et confortables entourées de jardins fleuris.', ""Après une journée de découverte du Mont-Saint-Michel, vous pourrez déguster une délicieuse cuisine régionale dans le cadre pittoresque d'une ancienne ferme."", ""Le personnel serviable sera heureux de vous recommander un grand nombre de sites d'intérêt et les visites à faire dans la région. ""]",48.6129378347065,-1.5101051330566402
3,Mont Saint Michel,48.6359541,-1.511459954959514,12.46,14.61,0.1,6.14,38.43,0,Hotel Gabriel,https://www.booking.com/hotel/fr/hotel-gabriel.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AteltJMGwAIB0gIkNWRiMWNlNDItZTlkNy00NTM2LThiYmMtMWNhMjY2NGE2YzVm2AIF4AIB&sid=767084ed46f2a243209f01c41c11b1e6&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-02&checkout=2022-05-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=1eda642b36530173&srepoch=1651500889&all_sr_blocks=17149402_91909906_0_1_0&highlighted_blocks=17149402_91909906_0_1_0&matching_block_id=17149402_91909906_0_1_0&sr_pri_blocks=17149402_91909906_0_1_0__25392&from=searchresults#hotelTmpl,"8,0","[""Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hotel Gabriel\xa0! "", 'L’Hotel Gabriel se trouve à 1,6 km du Mont-Saint-Michel. L’établissement est à seulement 25 minutes à pied des remparts de la vieille ville. Il propose une connexion Wi-Fi gratuite ainsi que des chambres avec salle de bains privative.', ""Accessibles par des escaliers, les chambres spacieuses de l'hôtel comprennent la télévision par satellite. Chaque hébergement dispose d’une salle de bains pourvue d’une douche."", 'Un petit-déjeuner buffet est disponible tous les matins. La Rôtisserie sert des spécialités normandes et bretonnes.', 'L’Hotel Gabriel est situé à 6 minutes en voiture de l’autoroute E401. Vous séjournerez également à 7,3 km de la gare TGV de Pontorson qui dessert Paris. ']",48.6153814136834,-1.5107099711895
4,Mont Saint Michel,48.6359541,-1.511459954959514,12.46,14.61,0.1,6.14,38.43,0,Hotel De La Digue,https://www.booking.com/hotel/fr/de-la-digue.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AteltJMGwAIB0gIkNWRiMWNlNDItZTlkNy00NTM2LThiYmMtMWNhMjY2NGE2YzVm2AIF4AIB&sid=767084ed46f2a243209f01c41c11b1e6&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-02&checkout=2022-05-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=1eda642b36530173&srepoch=1651500889&all_sr_blocks=7881803_347524666_0_1_0&highlighted_blocks=7881803_347524666_0_1_0&matching_block_id=7881803_347524666_0_1_0&sr_pri_blocks=7881803_347524666_0_1_0__35368&from=searchresults#hotelTmpl,"7,2","[""Cet établissement est à 1 minute à pied de la plage. L'hôtel De La Digue est un établissement traditionnel situé en Normandie, à seulement 5 minutes en navette ou à 30 minutes de marche du Mont-Saint-Michel. La connexion Wi-Fi est gratuite dans l'ensemble des locaux. Le restaurant sur place sert une cuisine française classique et offre une vue panoramique sur le Mont-Saint-Michel."", ""Spacieuses et joliment décorées, les chambres sont dotées d'une télévision. Certaines chambres doubles donnent sur la rivière Couesnon."", ""Vous pourrez prendre un verre au bar de l'hôtel ou sur la terrasse. ""]",48.6168815494412,-1.51091784238815
5,Mont Saint Michel,48.6359541,-1.511459954959514,12.46,14.61,0.1,6.14,38.43,0,Les Terrasses Poulard,https://www.booking.com/hotel/fr/les-terrasses-poulard.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AteltJMGwAIB0gIkNWRiMWNlNDItZTlkNy00NTM2LThiYmMtMWNhMjY2NGE2YzVm2AIF4AIB&sid=767084ed46f2a243209f01c41c11b1e6&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-02&checkout=2022-05-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=1eda642b36530173&srepoch=1651500889&all_sr_blocks=23079407_347524663_0_1_0&highlighted_blocks=23079407_347524663_0_1_0&matching_block_id=23079407_347524663_0_1_0&sr_pri_blocks=23079407_347524663_0_1_0__54368&from=searchresults#hotelTmpl,"7,3","[""Vous pouvez bénéficier d'une réduction Genius dans l'établissement Les Terrasses Poulard\xa0! "", ""Occupant 2 bâtiments différents au cœur du Mont-Saint-Michel, l'établissement historique Les Terrasses Poulard propose des hébergements avec une vue sur la baie, le village et la rue."", ""Décorées dans un style moderne, les chambres sont accessibles par des escaliers. Certaines présentent de grandes fenêtres donnant sur la baie. Toutes sont dotées d'une télévision et d'une salle de bains privative."", ""Le petit-déjeuner est servi au restaurant de l'Auberge de la Mère Poulard, à 2 minutes à pied. Spécialisé dans la cuisine française et régionale, le restaurant est aussi ouvert pour le déjeuner et le dîner. Vous pourrez également prendre vos repas, des boissons et des collations au restaurant La Confiance sur place."", ""L'établissement Les Terrasses Poulard comporte un bar, ainsi qu'une réception ouverte 24h/24 avec une bagagerie."", 'La région constitue un cadre idéal pour diverses activités telles que la pêche, le vélo et la randonnée à pied. ']",48.6353494256412,-1.51037871837616
6,Mont Saint Michel,48.6359541,-1.511459954959514,12.46,14.61,0.1,6.14,38.43,0,La Mère Poulard,https://www.booking.com/hotel/fr/la-mere-poulard.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AteltJMGwAIB0gIkNWRiMWNlNDItZTlkNy00NTM2LThiYmMtMWNhMjY2NGE2YzVm2AIF4AIB&sid=767084ed46f2a243209f01c41c11b1e6&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-02&checkout=2022-05-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=1eda642b36530173&srepoch=1651500889&all_sr_blocks=23079311_347524664_0_1_0&highlighted_blocks=23079311_347524664_0_1_0&matching_block_id=23079311_347524664_0_1_0&sr_pri_blocks=23079311_347524664_0_1_0__64368&from=searchresults#hotelTmpl,"7,1","[""Vous pouvez bénéficier d'une réduction Genius dans l'établissement La Mère Poulard\xa0! "", ""Occupant un bâtiment historique, l'hôtel La Mère Poulard jouit d'un emplacement idéal au cœur du Mont-Saint-Michel. Décorées dans un style classique, ses chambres donnent sur la baie, l'abbaye ou la cité médiévale."", ""Toutes les chambres de l'hôtel La Mère Poulard sont équipées d'une télévision à écran plat et d'une connexion Wi-Fi gratuite. Leur salle de bains privative comporte une baignoire."", ""Au prestigieux restaurant de l'hôtel La Mère Poulard, vous pourrez savourer des plats traditionnels dont sa fameuse omelette connue dans le monde entier. Vous pourrez tranquillement prendre un verre au piano-bar qui surplombe la baie du Mont-Saint-Michel."", ""L'hôtel possède un magasin spécialisé dans les produits gastronomiques régionaux. La réception est ouverte 24h/24."", 'Vous pourrez choisir parmi de nombreuses activités dont les randonnées pédestres, les balades à vélo ou bien la visite du Mont-Saint-Michel. Avranches se trouve à 23 minutes de route et Saint-Malo à 45 minutes de La Mère Poulard. ']",48.635085317234,-1.51053965091705
7,Mont Saint Michel,48.6359541,-1.511459954959514,12.46,14.61,0.1,6.14,38.43,0,Auberge Saint Pierre,https://www.booking.com/hotel/fr/auberge-saint-pierre.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AteltJMGwAIB0gIkNWRiMWNlNDItZTlkNy00NTM2LThiYmMtMWNhMjY2NGE2YzVm2AIF4AIB&sid=767084ed46f2a243209f01c41c11b1e6&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-02&checkout=2022-05-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=1eda642b36530173&srepoch=1651500889&all_sr_blocks=5721302_348102591_0_2_0&highlighted_blocks=5721302_348102591_0_2_0&matching_block_id=5721302_348102591_0_2_0&sr_pri_blocks=5721302_348102591_0_2_0__48208&from=searchresults#hotelTmpl,"8,1","[""L'Auberge Saint-Pierre occupe une maison à colombages du XIVe siècle située au Mont-Saint-Michel, une île accessible à marée basse. Elle allie le charme d'époque des poutres apparentes à des éléments de confort moderne comme une télévision et une connexion Wi-Fi gratuite. "", ""Les chambres de l'Auberge Saint Pierre disposent d'une salle de bains privative avec une baignoire ou une douche. Certaines offrent une vue sur la mer. "", ""L'établissement sert un petit-déjeuner buffet tous les matins. Vous pourrez prendre vos repas au restaurant authentique présent sur place qui sert une cuisine normande traditionnelle et des plats de poisson."", ""Installé dans la rue principale menant à l'abbaye, cet hôtel constitue un pied-à-terre idéal pour visiter le mont Saint-Michel. Certaines chambres se trouvent dans 2 bâtiments séparés accessibles par de nombreuses marches. ""]",48.6356879786914,-1.509882509708405
8,Mont Saint Michel,48.6359541,-1.511459954959514,12.46,14.61,0.1,6.14,38.43,0,Le Mouton Blanc,https://www.booking.com/hotel/fr/le-mouton-blanc-le-mont-saint-michel.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AteltJMGwAIB0gIkNWRiMWNlNDItZTlkNy00NTM2LThiYmMtMWNhMjY2NGE2YzVm2AIF4AIB&sid=767084ed46f2a243209f01c41c11b1e6&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-02&checkout=2022-05-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=1eda642b36530173&srepoch=1651500889&all_sr_blocks=19204913_347524665_0_1_0&highlighted_blocks=19204913_347524665_0_1_0&matching_block_id=19204913_347524665_0_1_0&sr_pri_blocks=19204913_347524665_0_1_0__43368&from=searchresults#hotelTmpl,"7,2","[""Vous pouvez bénéficier d'une réduction Genius dans l'établissement Le Mouton Blanc\xa0! "", ""Situé au pied de l'abbaye, le Mouton Blanc Hotel vous accueille dans son bâtiment historique datant du XIVe siècle. Il propose des chambres confortables avec une décoration simple et accueillante."", 'Les chambres sont réparties dans 3 bâtiments dont un offre des vues sur le Mont-Saint-Michel et un autre comporte des chambres de style médiéval.', 'Le restaurant du Mouton Blanc vous servira une cuisine locale traditionnelle dans la salle à manger ou sur la terrasse. Vous dégusterez aussi un petit-déjeuner chaque matin.', ""Enfin lors de votre séjour au Mouton Blanc Hotel, vous pourrez bénéficier de services personnalisés sur demande pour des visites, des loisirs et d'autres activités. ""]",48.636022984447095,-1.509895920753475
9,Mont Saint Michel,48.6359541,-1.511459954959514,12.46,14.61,0.1,6.14,38.43,0,Hôtel la Croix Blanche,https://www.booking.com/hotel/fr/ha-el-la-croix-blanche.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQGIAgGoAgO4AteltJMGwAIB0gIkNWRiMWNlNDItZTlkNy00NTM2LThiYmMtMWNhMjY2NGE2YzVm2AIF4AIB&sid=767084ed46f2a243209f01c41c11b1e6&aid=304142&ucfs=1&arphpl=1&checkin=2022-05-02&checkout=2022-05-04&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=1eda642b36530173&srepoch=1651500889&all_sr_blocks=47546802_348103097_0_0_0&highlighted_blocks=47546802_348103097_0_0_0&matching_block_id=47546802_348103097_0_0_0&sr_pri_blocks=47546802_348103097_0_0_0__58368&from=searchresults#hotelTmpl,"7,6","[""Situé au cœur du village médiéval du Mont-Saint-Michel, l'Hôtel La Croix Blanche possède une terrasse et un bar."", ""Les chambres de l'Hôtel La Croix Blanche disposent d'une télévision par satellite à écran plat et d'un minibar. Gratuit Une connexion Wi-Fi est disponible gratuitement."", ""En plus de la visite du Mont-Saint-Michel et de son abbaye, vous pourrez vous rendre à Saint-Malo, à 50 km de l'hôtel. La gare de Dol-de-Bretagne est à 30 km. ""]",48.6357340642713,-1.509861052036285
